pool, doeid, nweight, hdd30yr, cdd30yr, kownrent, stories, stove, stovefuel, oven, ovenfuel, ovenuse, stoven, outgrill, dishwash, cwasher, washload, dryer, dryruse, tvcolor, numlaptop, numtablet, pcprint, moisture, prkgplc1, cooltype, tempniteac, numberac, numcfan, notmoist, highceil, windows, adqinsul, drafty, swim, cellar, region, urban, housetyp, famcat, inccat
122 ,11364 ,11028.953624 ,7285 ,775 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,4 ,1 ,0 ,1 ,0 ,-2 ,0 ,-2 ,1 ,0 ,1 ,1 ,0 ,-2 ,2 ,75 ,2 ,2 ,0 ,0 ,20 ,2 ,4 ,0 ,-2 ,2 ,1 ,2 ,1 ,2
116 ,11395 ,19993.718413 ,6064 ,894 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,0 ,1 ,1 ,8 ,1 ,8 ,2 ,1 ,1 ,0 ,0 ,0 ,2 ,70 ,2 ,2 ,1 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
119 ,11401 ,19908.056272 ,6900 ,595 ,1 ,10 ,0 ,-2 ,0 ,-2 ,7 ,1 ,1 ,0 ,1 ,14 ,1 ,14 ,4 ,4 ,3 ,1 ,0 ,1 ,3 ,72 ,1 ,4 ,0 ,0 ,30 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,4 ,2
119 ,11421 ,18629.266807 ,6226 ,819 ,1 ,20 ,0 ,-2 ,1 ,5 ,7 ,1 ,0 ,1 ,1 ,5 ,1 ,5 ,2 ,2 ,0 ,1 ,1 ,1 ,1 ,72 ,-2 ,2 ,0 ,0 ,41 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
116 ,11550 ,17662.727428 ,7287 ,730 ,1 ,40 ,0 ,-2 ,0 ,-2 ,0 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,1 ,1 ,0 ,1 ,1 ,75 ,-2 ,6 ,1 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
110 ,11693 ,14918.172375 ,6131 ,921 ,1 ,10 ,0 ,-2 ,0 ,-2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,70 ,-2 ,4 ,0 ,1 ,42 ,2 ,4 ,3 ,1 ,2 ,1 ,1 ,1 ,2
113 ,11758 ,36103.036017 ,6440 ,775 ,1 ,10 ,0 ,-2 ,0 ,-2 ,0 ,1 ,1 ,0 ,1 ,2 ,1 ,2 ,3 ,0 ,0 ,0 ,1 ,0 ,1 ,65 ,-2 ,2 ,1 ,0 ,30 ,2 ,4 ,3 ,1 ,2 ,1 ,1 ,2 ,2
116 ,11835 ,18052.835564 ,4574 ,1396 ,1 ,20 ,0 ,-2 ,0 ,-2 ,4 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,1 ,0 ,0 ,1 ,70 ,-2 ,3 ,0 ,0 ,50 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
119 ,11853 ,9328.5806616 ,8647 ,493 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,0 ,1 ,1 ,2 ,1 ,3 ,3 ,1 ,2 ,1 ,0 ,1 ,1 ,70 ,-2 ,1 ,0 ,1 ,41 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
131 ,11883 ,27539.671837 ,6270 ,826 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,5 ,1 ,1 ,1 ,1 ,10 ,1 ,10 ,3 ,1 ,2 ,0 ,0 ,-2 ,1 ,74 ,-2 ,0 ,0 ,0 ,20 ,3 ,1 ,0 ,-2 ,2 ,1 ,2 ,4 ,2
128 ,11891 ,9047.1078964 ,6346 ,1029 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,5 ,1 ,0 ,1 ,0 ,-2 ,0 ,-2 ,1 ,1 ,1 ,0 ,0 ,-2 ,1 ,65 ,-2 ,0 ,0 ,0 ,20 ,1 ,4 ,0 ,-2 ,2 ,1 ,2 ,3 ,2
113 ,11915 ,21797.743015 ,6640 ,776 ,1 ,10 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,1 ,1 ,3 ,1 ,3 ,2 ,0 ,4 ,1 ,1 ,1 ,2 ,70 ,2 ,4 ,1 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,2 ,2
116 ,11930 ,13379.741851 ,6714 ,685 ,2 ,20 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,3 ,1 ,3 ,2 ,2 ,1 ,1 ,0 ,1 ,1 ,68 ,-2 ,4 ,0 ,1 ,20 ,2 ,3 ,0 ,0 ,2 ,1 ,1 ,3 ,2
119 ,12092 ,21056.701636 ,6305 ,613 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,0 ,0 ,1 ,4 ,1 ,5 ,1 ,2 ,1 ,1 ,1 ,1 ,1 ,70 ,-2 ,0 ,0 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,4 ,2
122 ,12140 ,27367.106483 ,6537 ,771 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,1 ,1 ,0 ,1 ,1 ,1 ,1 ,1 ,2 ,2 ,1 ,1 ,0 ,-2 ,1 ,75 ,-2 ,0 ,0 ,1 ,30 ,2 ,4 ,0 ,-2 ,2 ,1 ,2 ,1 ,2
116 ,12188 ,19804.625727 ,6061 ,982 ,1 ,10 ,0 ,-2 ,0 ,-2 ,10 ,1 ,1 ,0 ,0 ,-2 ,0 ,-2 ,2 ,1 ,0 ,0 ,1 ,1 ,2 ,68 ,1 ,2 ,1 ,0 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,12248 ,16743.379725 ,6503 ,689 ,1 ,10 ,0 ,-2 ,0 ,-2 ,5 ,1 ,1 ,1 ,1 ,5 ,1 ,5 ,4 ,3 ,1 ,0 ,0 ,1 ,1 ,72 ,-2 ,2 ,0 ,1 ,30 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,12349 ,31752.607147 ,4491 ,1726 ,1 ,20 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,7 ,1 ,7 ,5 ,1 ,2 ,1 ,1 ,0 ,1 ,70 ,-2 ,5 ,0 ,0 ,41 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,12351 ,19898.4294 ,4929 ,1349 ,1 ,20 ,0 ,-2 ,0 ,-2 ,4 ,1 ,1 ,1 ,1 ,7 ,1 ,7 ,4 ,2 ,2 ,1 ,0 ,1 ,1 ,72 ,-2 ,3 ,0 ,1 ,41 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,12420 ,24555.085543 ,5846 ,1170 ,1 ,10 ,0 ,-2 ,0 ,-2 ,1 ,1 ,1 ,0 ,1 ,5 ,1 ,5 ,4 ,0 ,0 ,1 ,0 ,0 ,1 ,75 ,-2 ,2 ,1 ,1 ,42 ,2 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
116 ,12484 ,26768.540972 ,5517 ,822 ,1 ,10 ,0 ,-2 ,0 ,-2 ,5 ,1 ,1 ,1 ,1 ,3 ,1 ,3 ,4 ,1 ,1 ,3 ,1 ,1 ,3 ,70 ,1 ,3 ,1 ,1 ,41 ,2 ,4 ,0 ,0 ,2 ,1 ,1 ,3 ,2
116 ,12497 ,17173.745549 ,8941 ,507 ,1 ,10 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,1 ,1 ,6 ,1 ,6 ,3 ,1 ,2 ,1 ,0 ,1 ,1 ,68 ,-2 ,2 ,0 ,0 ,42 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,3 ,2
128 ,12528 ,15724.816693 ,6477 ,751 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,1 ,1 ,0 ,1 ,0 ,-2 ,0 ,-2 ,1 ,2 ,2 ,1 ,1 ,-2 ,1 ,74 ,-2 ,0 ,0 ,0 ,41 ,1 ,4 ,0 ,-2 ,2 ,1 ,2 ,3 ,2
116 ,12535 ,21326.907062 ,5325 ,1066 ,1 ,10 ,0 ,-2 ,0 ,-2 ,2 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,2 ,1 ,1 ,0 ,1 ,1 ,1 ,72 ,-2 ,2 ,0 ,1 ,30 ,2 ,4 ,0 ,0 ,2 ,1 ,1 ,3 ,2
110 ,12810 ,29438.64319 ,6080 ,883 ,1 ,10 ,0 ,-2 ,0 ,-2 ,1 ,1 ,1 ,0 ,1 ,3 ,1 ,3 ,1 ,1 ,0 ,1 ,0 ,0 ,1 ,74 ,-2 ,0 ,1 ,0 ,41 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,1 ,2
119 ,12848 ,25887.535073 ,4541 ,1400 ,1 ,31 ,0 ,-2 ,0 ,-2 ,3 ,1 ,0 ,1 ,1 ,7 ,1 ,6 ,3 ,0 ,1 ,1 ,0 ,1 ,2 ,72 ,4 ,4 ,1 ,0 ,42 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
119 ,12877 ,32685.548302 ,4211 ,1510 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,0 ,1 ,15 ,1 ,15 ,2 ,1 ,2 ,1 ,1 ,1 ,1 ,70 ,-2 ,1 ,0 ,0 ,41 ,2 ,2 ,0 ,1 ,2 ,1 ,1 ,4 ,2
110 ,12900 ,20100.914527 ,6262 ,1052 ,1 ,10 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,4 ,1 ,4 ,3 ,2 ,1 ,1 ,1 ,1 ,1 ,74 ,-2 ,4 ,0 ,1 ,50 ,1 ,4 ,0 ,1 ,2 ,1 ,1 ,1 ,2
116 ,12933 ,13945.702276 ,5593 ,990 ,1 ,10 ,1 ,1 ,1 ,5 ,-2 ,0 ,1 ,1 ,1 ,5 ,1 ,5 ,4 ,2 ,3 ,1 ,1 ,1 ,1 ,74 ,-2 ,4 ,0 ,1 ,41 ,1 ,4 ,0 ,0 ,2 ,1 ,1 ,3 ,2
119 ,12973 ,12608.178082 ,5178 ,1290 ,1 ,31 ,0 ,-2 ,0 ,-2 ,4 ,1 ,0 ,1 ,1 ,4 ,1 ,4 ,5 ,2 ,1 ,1 ,1 ,1 ,1 ,68 ,-2 ,6 ,1 ,1 ,50 ,2 ,3 ,0 ,1 ,2 ,1 ,1 ,4 ,2
119 ,12985 ,17458.84454 ,6636 ,827 ,2 ,20 ,0 ,-2 ,0 ,-2 ,7 ,1 ,1 ,1 ,0 ,-2 ,0 ,-2 ,5 ,1 ,1 ,0 ,0 ,1 ,1 ,73 ,-2 ,1 ,0 ,1 ,50 ,3 ,4 ,0 ,1 ,2 ,1 ,1 ,4 ,2
122 ,12993 ,12177.200836 ,7404 ,731 ,2 ,-2 ,0 ,-2 ,0 ,-2 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 ,1 ,-2 ,2 ,70 ,1 ,2 ,0 ,0 ,50 ,3 ,1 ,0 ,-2 ,2 ,1 ,2 ,1 ,2
