"pool","doeid","nweight","hdd30yr","cdd30yr","kownrent","condcoop","naptflrs","stories","stoven","stovenfuel","stove","stovefuel","oven","ovenfuel","ovenuse","outgrill","dishwash","cwasher","washload","dryer","dryruse","tvcolor","computer","numpc","pcprint","moisture","prkgplc1","prkgplc2","cooltype","tempniteac","numberac","numcfan","notmoist","highceil","windows","adqinsul","drafty","swim"
8,2380,5629099,7323,342,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,1,2,1,1,0,1,0,0,-2,-2,-2,0,0,0,50,1,4,0
8,2606,15623271,6029,631,2,-2,-2,20,1,5,0,-2,0,-2,5,1,1,1,2,1,2,3,1,2,1,0,0,1,2,-2,1,2,0,1,42,1,3,0
8,2771,11638253,8378,246,1,-2,-2,20,1,2,0,-2,0,-2,5,1,0,1,2,1,2,2,1,1,1,0,1,-2,2,-2,2,2,0,1,41,3,4,0
8,2996,3912874,7570,289,1,-2,-2,20,1,5,0,-2,0,-2,3,1,0,1,2,1,2,5,1,3,2,1,0,0,-2,-2,-2,0,1,0,60,2,3,0
8,3450,5862856,6639,530,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,2,1,1,1,1,1,1,1,1,-2,1,68,-2,4,0,0,42,1,3,0
8,3467,11638256,8505,224,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,1,3,0,0,-2,0,1,-2,-2,-2,-2,3,1,0,30,2,4,0
8,3595,5414540,7117,475,1,-2,-2,10,1,2,0,-2,0,-2,4,1,1,1,3,1,1,2,1,2,1,0,1,-2,2,-2,2,5,1,0,41,1,4,0
8,3861,11174232,7945,361,1,-2,-2,10,1,5,0,-2,0,-2,5,0,0,1,2,1,1,1,1,1,1,0,1,-2,2,-2,2,1,1,0,41,1,4,0
8,5274,4133556,6957,371,1,-2,-2,10,1,5,0,-2,0,-2,0,1,1,1,1,1,1,2,1,3,1,0,1,-2,-2,-2,-2,4,1,1,42,1,4,0
8,5450,4286302,6399,597,1,-2,-2,20,1,5,0,-2,0,-2,5,1,1,1,2,1,3,3,1,1,1,0,0,1,2,-2,1,3,0,0,50,1,4,0
8,5993,5629099,7086,412,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,4,1,2,2,1,2,1,1,1,-2,-2,-2,-2,1,1,0,41,1,4,0
8,6134,11638258,9316,159,1,-2,-2,10,1,5,0,-2,0,-2,3,1,1,1,3,1,1,1,1,1,1,1,1,-2,-2,-2,-2,0,0,1,41,1,4,0
8,6160,5414540,7156,468,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,3,1,1,2,1,1,1,0,1,-2,2,-2,2,1,1,0,30,1,4,0
8,6328,3875427,6628,473,1,1,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,1,4,1,1,1,0,1,-2,1,65,-2,1,0,1,41,1,4,0
8,6374,7834503,7967,310,1,-2,-2,40,1,5,0,-2,0,-2,5,1,1,1,2,1,1,2,1,2,2,0,1,-2,-2,-2,-2,5,1,0,42,1,4,2
8,6430,5629099,6721,441,1,-2,-2,10,1,5,0,-2,0,-2,6,1,1,1,2,1,3,2,1,1,1,0,1,-2,2,-2,2,0,0,0,41,1,4,0
8,6629,7834504,6046,712,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,1,2,1,3,1,0,1,-2,1,72,-2,2,0,1,50,1,4,0
8,7075,3875427,6993,372,1,1,-2,10,1,1,0,-2,0,-2,4,0,1,1,3,1,1,2,1,1,1,0,1,-2,1,-2,-2,0,1,0,50,1,4,0
8,7174,5414539,7855,378,1,-2,-2,20,0,-2,1,5,1,5,4,1,0,1,3,1,2,3,1,2,2,1,0,1,2,-2,2,0,0,0,41,3,4,0
8,8470,6814270,5766,714,1,-2,-2,20,1,5,1,5,0,-2,2,1,1,1,3,1,1,4,0,0,-2,0,0,1,2,-2,3,0,0,0,50,1,3,0
8,8754,5629099,6891,407,1,-2,-2,31,1,1,0,-2,0,-2,4,1,0,1,3,1,1,2,1,2,2,0,1,-2,-2,-2,-2,0,1,0,42,1,3,3
8,8849,5414540,7019,525,1,-2,-2,20,1,5,0,-2,0,-2,2,1,1,1,3,1,1,1,1,2,2,1,1,-2,2,-2,2,0,1,0,41,1,4,0
8,9351,12407576,5235,955,1,-2,-2,10,1,5,0,-2,0,-2,2,1,1,1,4,1,1,2,1,2,2,0,1,-2,1,-2,-2,6,0,0,30,2,4,0
8,9383,4133556,7440,293,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,2,1,2,2,1,3,2,0,0,1,-2,-2,-2,2,1,0,41,1,4,0
8,9690,6318880,6851,484,1,-2,-2,20,1,5,0,-2,0,-2,6,1,0,1,2,1,1,3,1,1,1,1,0,0,2,-2,3,2,1,1,50,2,3,2
8,9825,11150181,7583,268,1,-2,-2,10,1,5,0,-2,0,-2,6,1,0,1,3,1,2,2,1,1,1,0,0,1,2,-2,1,1,1,0,41,1,4,0
8,9928,15623269,6018,634,1,-2,-2,10,1,5,0,-2,0,-2,4,1,0,1,2,1,2,2,0,0,-2,0,0,0,2,-2,2,3,0,0,41,2,3,0
8,10083,7816170,7057,418,1,-2,-2,10,1,2,0,-2,0,-2,4,1,0,1,3,1,1,2,1,2,1,1,0,0,2,-2,1,1,0,0,41,2,4,0
8,10429,7122716,5757,747,1,-2,-2,20,1,5,0,-2,0,-2,6,1,1,1,3,1,1,5,1,1,1,0,1,-2,2,-2,3,0,1,0,50,1,4,0
8,10544,5639385,8530,271,2,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,3,1,1,1,1,1,1,0,0,0,2,-2,2,3,0,0,50,1,3,0
8,10860,7955396,6871,441,1,-2,-2,10,1,5,0,-2,1,5,2,1,1,1,3,1,1,2,1,1,1,1,1,-2,2,-2,1,2,1,0,41,1,4,0
8,11268,11174228,8223,274,1,-2,-2,10,2,5,0,-2,0,-2,4,1,0,1,4,1,1,2,1,1,1,1,1,-2,2,-2,2,2,1,0,41,1,4,0
